"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK QUIZ METODO MIGLIORE + VIDEO AD SECONDO STIPENDIO CON 60 MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,2025-08-27T08:16:19+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: VIDEO_AD_POV_-_GIOVANNI_7000€_IN_20_GIORNI_CON_DISPOSITIVO_ANTI_RUSSAMENTO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,2025-08-27T08:16:16+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_SEGRETO_DIETRO_ORDINE_AMAZON_+_VIDEO_ADS_COPIA_IL_SISTEMA_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,2025-08-27T08:16:25+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  HOOK_6_ANNI_FA_LAVORAVO_COME_MAGAZZINIERE_+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_1000_O_2000_IN_PIU_AL_MESE_E_TUTTO_CIO_DI_CUI_HAI_BISOGNO_+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_CONTARE_I_CENTESIMI_A_FINE_MESE_+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_DOMANDA_VELOCE_50_O_100_IN_PIU_AL_GIORNO_+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_NEANCHE_10K_SUL_CONTO_+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,28,Daily,2025-08-27,2025-09-11T23:35:08+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,40,Daily,2025-08-27,2025-09-30T02:06:27+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: HOOK_PORTA_SUL_RETRO_AMAZON_EBAY_+_VIDEO_ADS_COPIA_IL_SISTEMA_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_POV_-_54_PERSONE_GUADAGNANO_2500€_OGNI_MESE_CON_UN_PRODOTTO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-08-27,0,"Test LDP"
