"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_UN_ALTRO_DI_QUEI_CAZZARI_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_VI_RENDE_FELICE_+_BODY_COSTO-DI-UNFIGLIO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_VI_RENDE_FELICE_+_BODY_NEGOZI-ONLINE-H24",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_VI-RENDE-FELICE_+_BODY_PORTA-SUL-RETRO",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-17,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  VIDEO_AD_HOOK_VIRALE_SCATOLA_IN_TESTA_H2",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-20,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  VIDEO_AD_DIPENDENTI_N",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-20,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-09-20,2025-09-30T02:05:15+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  BOX_DOMANDE",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-09-20,2025-09-30T02:05:34+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,30,Daily,2025-09-20,2025-09-30T02:13:40+0200,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  VIDEO_AD_BREVE_-_SELFIE_N",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-09-20,0,"Test LDP"
2025-12-01,2025-12-31,"IG -> DM  - story carousel 1",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:43+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-31,"IG -> DM  - upload 1",archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,0,"LDP | social funnel | DM"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: HOOK_COPIARE_AMAZON_+_VIDEO_AD_SECONDO_STIPENDIO_CON_60_MINUTI_V",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,49,Daily,2025-08-27,2025-08-29T18:23:28+0200,"Test LDP"
